Iteration 1:
		 x0      x1      x2      b       w0      w1      w2      wb      a       y       z       
		 0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
		 0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
		 0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
		 0.0     1.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     
		 1.0     0.0     0.0     1.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     
		 1.0     0.0     1.0     1.0     0.0     0.1     0.1     0.1     0.2     0.0     1.0     
		 1.0     1.0     0.0     1.0     0.1     0.1     0.2     0.2     0.4     0.0     1.0     
		 1.0     1.0     1.0     1.0     0.2     0.2     0.2     0.3     0.9     1.0     1.0     
Iteration 2:
		 x0      x1      x2      b       w0      w1      w2      wb      a       y       z       
		 0.0     0.0     0.0     1.0     0.2     0.2     0.2     0.3     0.3     0.0     0.0     
		 0.0     0.0     1.0     1.0     0.2     0.2     0.2     0.3     0.5     1.0     0.0     
		 0.0     1.0     0.0     1.0     0.2     0.2     0.1     0.2     0.4     0.0     0.0     
		 0.0     1.0     1.0     1.0     0.2     0.2     0.1     0.2     0.5     1.0     1.0     
		 1.0     0.0     0.0     1.0     0.2     0.2     0.1     0.2     0.4     0.0     0.0     
		 1.0     0.0     1.0     1.0     0.2     0.2     0.1     0.2     0.5     1.0     1.0     
		 1.0     1.0     0.0     1.0     0.2     0.2     0.1     0.2     0.6     1.0     1.0     
		 1.0     1.0     1.0     1.0     0.2     0.2     0.1     0.2     0.7     1.0     1.0     
Iteration 3:
		 x0      x1      x2      b       w0      w1      w2      wb      a       y       z       
		 0.0     0.0     0.0     1.0     0.2     0.2     0.1     0.2     0.2     0.0     0.0     
		 0.0     0.0     1.0     1.0     0.2     0.2     0.1     0.2     0.3     0.0     0.0     
		 0.0     1.0     0.0     1.0     0.2     0.2     0.1     0.2     0.4     0.0     0.0     
		 0.0     1.0     1.0     1.0     0.2     0.2     0.1     0.2     0.5     1.0     1.0     
		 1.0     0.0     0.0     1.0     0.2     0.2     0.1     0.2     0.4     0.0     0.0     
		 1.0     0.0     1.0     1.0     0.2     0.2     0.1     0.2     0.5     1.0     1.0     
		 1.0     1.0     0.0     1.0     0.2     0.2     0.1     0.2     0.6     1.0     1.0     
		 1.0     1.0     1.0     1.0     0.2     0.2     0.1     0.2     0.7     1.0     1.0     
